title,price,rating,reviews_count,free_delivery,deal_badge,amoled,hd_display,lcd,oled,gps,bluetooth,calling,alexa,heart_rate,spo2,sleep,blood_oxygen,sports,fitness_tracker,step_counter,waterproof,ip68,ip67,5atm,men,women,kids,short_name,price_segment,is_popular
"fastrack limitless fs2 pro 1.96"" amoled smart watch with bt calling, ai voice assistant, 100+ sports modes, 5-day battery, fast charge, health tracking, – smartwatch for men& women (black)(38086pp01k)",2995.0,3.9,1500.0,True,,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"fastrack limitless fs2 pro 1.96""",Budget,0
"redmi watch 5 lite, 1.96"" amoled, advanced in-built gps, 5 atm, 18 day battery, bluetooth calling with ai noise reduction, always on display, black",3499.0,4.1,1500.0,True,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"redmi watch 5 lite, 1.96""",Mid-Range,1
"fire-boltt ninja phantom smart watch 1.83” display, transparent clear body design, bluetooth calling, 120+ sports modes, voice assistant, ai outfit watch face smartwatch for men & women shadow black",999.0,4.0,1500.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt ninja phantom smart watch,Budget,1
"noisefit halo 1.43"" amoled display, bluetooth calling round dial smart watch, premium metallic build, always on display, smart gesture control, 100 sports modes (jet black)",2999.0,3.9,2300.0,True,,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"noisefit halo 1.43"" amoled display,",Budget,0
"boat wave sigma 3 curv smartwatch with 2.01” (5.33 cm) immersive curved display, metallic finish, functional crown, bt calling, sleep, stress, heart rate & spo2 monitoring, sos, ip68(timber brown)",1499.0,5.0,3.0,True,,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,boat wave sigma 3 curv,Budget,0
"noise pulse go buzz smart watch with advanced bluetooth calling, 1.69"" tft display, spo2, 100 sports mode with auto detection, upto 7 days battery (2 days with heavy calling) - midnight blue",1499.0,4.0,24100.0,True,,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,noise pulse go buzz smart,Budget,1
"redmi watch 5 lite, 1.96"" amoled, advanced in-built gps, 5 atm, 18 day battery, bluetooth calling with ai noise reduction, always on display, light gold",3499.0,4.1,1500.0,True,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"redmi watch 5 lite, 1.96""",Mid-Range,1
"noise vortex plus 1.46 amoled display, aod, bt calling, sleek metal finish, 7 days battery life, all new os with 100+ watch faces & health suite (jet black)",2199.0,4.0,56200.0,True,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,noise vortex plus 1.46 amoled,Budget,1
"boat lunar discovery w/ 1.39"" (3.5 cm) hd display, turn-by-turn navigation, diy watch face studio, bluetooth calling, emergency sos, qr tray, smart watch for men & women(active black)",1499.0,3.8,5600.0,True,,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"boat lunar discovery w/ 1.39""",Budget,0
"fire-boltt ninja call pro max ultra bluetooth calling smart watch, 2.01”hd display, ai outfit watch face, 2 looks in 1 watch, extra straps at ₹99, 120+ sports modes, smartwatch for men & women (black)",1099.0,3.3,829.0,True,,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt ninja call pro max,Budget,0
"oneplus watch 2r with wear os 4 by google,snapdragon w5 chipset,upto 100hrs battery life,1.43’’ amoled display,100+ sports mode,dual frequency gps,5 atm,ip68 & bt calling [forest green]",13499.0,4.3,659.0,True,,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,oneplus watch 2r with wear,Premium,0
"fire-boltt axiom round smart watch 1.43″ super amoled display with always‑on mode, bluetooth calling, rotating crown, spo₂ & heart rate monitor, ip67 waterproof silicone smartwatch for men - black",1999.0,4.0,3400.0,True,Limited time deal,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,fire-boltt axiom round smart watch,Budget,1
"fire-boltt talk round bluetooth calling smart watch, 1.39”tft display, ai outfit watch face, 2 looks in 1 watch, extra straps at ₹99, 120+ sports modes, smartwatch for men & women (black)",1299.0,4.0,60100.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt talk round bluetooth calling,Budget,1
"nervfit blaze smartwatch 1.4"" led display, bluetooth calling, ip67 waterproof, heart rate & spo2 monitor, sleep & stress tracking, 7-day battery, fitness & sports modes (vibrant gold)",2149.0,3.3,60.0,True,,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,"nervfit blaze smartwatch 1.4"" led",Budget,0
"boat wave call smart watch for men & women, bluetooth calling, 1.69"" (4.2 cm) display w/ 550 nits, 150+ watch faces, multi-sport modes,hr,spo2, ip68 (bold black)",1349.0,3.9,28400.0,True,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,boat wave call smart watch,Budget,0
